plantnum,fliesperwk,harvest,do.mg.l,do.pct,halfvol,lflen,lfwid,keelwid,diam1,diam2,leafarea,leafmass,ph,no3,nh4,po4,pct.n,ca.ppm,p.ppm,k.ppm,mg.ppm
26,12,5,NA,NA,36,205.9,57.4,33,27.6,26.3,160.42,1.55,7.19,NA,NA,NA,1.42,631.3,1088.1,3240.4,1329.2
27,8,2,3.07,35.8,22,153.5,45.5,14.5,26.7,22.9,100.84,0.74,6.53,0.07,0.43,3.53,1.33,621.7,1089.3,4056.3,1051.6
28,6,1,3.2,35.6,31,181.69,45.92,14.33,33.43,21.54,4.39,1.02,4.61,0.07,0.18,0.17,1.26,230.7,1381.5,6111.7,1303.1
29,2,3,NA,NA,12,149.2,40.5,20.4,20.7,14.7,82.66,0.67,6.87,NA,NA,NA,0.93,135.7,795.7,2890.1,679.6
30,8,3,3.2,38.4,31,209.3,55.6,35.4,30.3,24,157.92,1.43,6.73,NA,0.92,NA,1.21,252.5,1310.4,3190.2,615.5
31,6,2,2.81,33.2,13,155.9,42.6,24.5,24,12.2,82.54,0.53,5.6,0.08,0.44,NA,1.25,305.8,1512.6,3670.4,953.9
32,0,5,NA,NA,28,159.2,50.7,29,29.1,24.1,109.68,0.76,5.94,-0.66,0.06,0.17,0.75,667.7,129.2,2927.3,688.9
33,2,5,NA,NA,33,166.5,34.8,17.7,27.5,24.5,109.76,0.92,7.72,0.36,NA,NA,1.08,609.8,1020.9,3633.2,991.5
34,8,3,0.13,1.6,10,118.3,29.8,4.8,21.3,15.9,46.36,0.32,8.12,NA,4.29,NA,2.3,421.6,3345.1,3845.7,1254.5
35,8,4,NA,NA,10,155.5,43.7,23.8,25.7,16.7,98.26,0.72,NA,NA,NA,NA,1.65,391.1,1459.7,3226.6,839.8
36,10,3,0.51,6.4,12,158.9,30.6,12.8,23.8,18.8,61.52,0.34,7.29,1.53,NA,NA,1.96,913.2,2263.6,3644.1,1233.3
37,4,4,1.59,17.3,9,122.7,27.2,8.1,19.3,15,52.24,0.33,7.29,NA,4.29,NA,1.6,1120.4,1566.2,3363.5,1165
38,14,2,0.17,2,38,138.4,49.6,18.5,28.4,17.8,107.82,0.96,5.86,0.1,4.29,0.27,1.45,351.3,1889.9,5094.9,824.3
39,14,5,NA,NA,14,154.3,43.3,24.6,26.7,13,89.72,0.9,7.1,-0.63,4.29,NA,1.85,346.1,2174.2,3891.9,859.6
40,2,3,2.78,34.9,6,85.4,26.1,7.3,18.5,11.5,31.52,0.2,7.06,NA,NA,NA,1.02,545.2,1084.1,3012.9,781.6
41,8,2,1.22,14.3,23,173.7,56.5,25.3,28,21.5,114.08,0.9,5.52,-0.26,4.29,0.27,1.46,500.2,1313.9,4365.7,1003.6
42,4,3,2.25,27.5,32,229.4,52.1,30.8,30.7,23,145.2,1.44,3.9,1.45,0.49,0.56,1.29,382,1403.2,4800.2,525.1
43,8,5,NA,NA,9,157.1,34.4,12.8,28.7,26,87.12,0.62,NA,NA,NA,NA,1.86,868.1,1686.5,4022.5,754.7
44,10,3,0.03,0.3,39,233.8,41.4,21.2,37.2,22.2,141.18,1.45,6.58,2.96,4.29,1.18,1.19,333.4,1088.3,3861.7,694.4
45,14,1,1.74,19.5,18,138.66,41.35,18.08,24.28,18.16,3.29,0.51,6.65,0.21,4.29,NA,1.82,190.4,1925.6,7643.3,1161.6
46,4,1,2.32,25.7,29,179.96,44.5,18.16,30.33,22.28,6.02,0.85,6.14,0.09,0.1,-0.03,1.69,480.5,2149.3,10906.4,1228.9
47,4,3,NA,NA,6,111.7,24.1,8,15.7,10.4,33.08,0.19,NA,NA,NA,NA,1.78,698.8,2002.1,3568.8,1072.1
48,8,4,0.15,1.7,25,209.9,41,19.4,37.3,19.8,138.24,1.31,6.41,0.04,4.29,NA,1.46,787.7,1389.2,3131.3,718.7
49,12,2,3.36,39.3,22,173.8,48.8,24.3,27.5,19.8,115.3,0.84,6.39,0.07,4.29,NA,1.59,412.7,2208.4,4696.2,781.9
50,10,3,0.25,3.3,18,168.1,36,19.7,26.2,22.9,90,0.69,7.05,0.59,4.29,NA,1.56,456.3,1683.1,3232.2,941
51,6,5,NA,NA,8,142.8,30.6,19.2,15.9,14.1,61.14,0.33,7.42,NA,4.29,NA,1.74,585,2654.2,6421.1,1262.8
52,12,5,NA,NA,28,168.5,45.2,13.3,26.1,20.7,110.58,1.03,7.21,0.09,4.29,1.09,1.96,364.2,1842.7,4157.3,792.4
53,14,3,0.96,12,25,180.8,42.8,27.4,27,22.7,112.7,0.81,6.28,-0.05,4.29,NA,1.41,510.6,1978.4,4204.3,981.1
54,14,1,0.2,2.2,12,136.19,29.21,7.9,25.22,24,2.99,0.32,6.89,0.05,4.29,NA,2.85,478.5,3311.9,6722.5,1754
55,0,2,2.71,31.9,44,168.6,36.6,21.3,29.6,21.3,93.28,0.79,6.97,0.1,NA,NA,1.01,238.5,1261.4,4078.3,909.4
56,4,2,2.25,26.5,32,176.8,49.5,18.2,28.8,23.5,119.34,1.18,4.4,0.04,4.29,-0.26,0.95,136.2,1041,3722.2,703.8
57,2,4,4.06,42,38,191.1,40.5,25.5,32.2,25.3,123.88,0.96,6.54,0.01,0.1,NA,1.15,756,787.5,4824.1,681.9
58,0,5,NA,NA,28,166.6,45.5,14.7,32.2,19.5,105.92,0.92,NA,NA,NA,NA,0.86,622.6,347.2,3474.3,870.3
59,2,1,2.61,32,9,110.03,33.81,8.53,19.91,13.36,2.05,0.31,5.95,0.27,NA,NA,1.37,445.6,848.4,4725.2,1318.4
60,2,2,2.15,25.3,22,170.5,45.4,19,25.6,23.2,104.82,0.74,4.43,0.02,0.26,0.08,1.09,353.2,1116,4294.8,893.6
61,2,2,2.79,32.9,22,229.8,48.4,23.8,29,22.1,127.16,1.26,4.67,0.24,0.17,0,1.08,519.3,2136.3,3479.7,1311.2
